"Kod";"Jednostka terytorialna";"Kierunki wykorzystania powierzchni";"Lata";"Jednostka miary";"Wartość";
"1465048";"Bielany - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";690;
"1465048";"Bielany - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";106;
"1465048";"Bielany - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";174;
"1465048";"Bielany - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465048";"Bielany - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";171;
"1465048";"Bielany - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";3;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";1873;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";575;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";328;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";410;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";110;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny rekreacji i wypoczynku";"2014";"ha";51;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";368;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";11;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";20;
"1465048";"Bielany - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465048";"Bielany - dzielnica (8)";"użytki ekologiczne";"2014";"ha";5;
"1465048";"Bielany - dzielnica (8)";"nieużytki";"2014";"ha";15;
"1465048";"Bielany - dzielnica (8)";"tereny różne";"2014";"ha";37;
"1465058";"Mokotów - dzielnica (8)";"ogółem";"2014";"ha";3542;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne razem";"2014";"ha";757;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";627;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - sady";"2014";"ha";32;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";48;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";37;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";13;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465058";"Mokotów - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";0;
"1465058";"Mokotów - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";32;
"1465058";"Mokotów - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";0;
